Name,Announced,Groundbreaking,Dedication,Sealing,SQFT
Provo Utah Temple,14-Aug-1967,15-Sep-1969,9-Feb-1972,12,130825
Quetzaltenango Guatemala Temple,16-Dec-2006,14-Mar-2009,11-Dec-2011,2,21085
Quito Ecuador Temple,3-Apr-2016,11-May-2019,20-Nov-2022,0,0
Raleigh North Carolina Temple,3-Sep-1998,6-Feb-1999,18-Dec-1999,2,12864
Recife Brazil Temple,13-Jan-1995,11-Nov-1996,15-Dec-2000,3,37200
Redlands California Temple,21-Apr-2001,1-Dec-2001,14-Sep-2003,3,17300
Regina Saskatchewan Temple,3-Aug-1998,14-Nov-1998,14-Nov-1999,2,10700
Reno Nevada Temple,12-Apr-1999,24-Jul-1999,23-Apr-2000,2,10700
Rexburg Idaho Temple,12-Dec-2003,30-Jul-2005,10-Feb-2008,5,57504
Rio de Janeiro Brazil Temple,6-Apr-2013,4-Mar-2017,8-May-2022,0,29966
Rome Italy Temple,4-Oct-2008,23-Oct-2010,10-Mar-2019,3,41010
Sacramento California Temple,21-Apr-2001,22-Aug-2004,3-Sep-2006,4,19500
Salt Lake City Utah Temple,28-Jul-1847,14-Feb-1853,6-Apr-1893,23,253000
San Antonio Texas Temple,24-Jun-2001,29-Mar-2003,22-May-2005,2,16800
San Diego California Temple,7-Apr-1984,27-Feb-1988,25-Apr-1993,8,72000
San Jose Costa Rica Temple,17-Mar-1999,24-Apr-1999,4-Jun-2000,2,10700
San Salvador El Salvador Temple,18-Nov-2007,20-Sep-2008,21-Aug-2011,2,27986
Santiago Chile Temple,2-Apr-1980,30-May-1981,15-Sep-1983,3,20831
Santo Domingo Dominican Republic Temple,16-Nov-1993,18-Aug-1996,17-Sep-2000,4,67000
Sao Paulo Brazil Temple,1-Mar-1975,20-Mar-1976,30-Oct-1978,4,59246
Sapporo Japan Temple,3-Oct-2009,22-Oct-2011,21-Aug-2016,3,48480
Seattle Washington Temple,15-Nov-1975,27-May-1978,17-Nov-1980,13,110000
Seoul Korea Temple,1-Apr-1981,9-May-1983,14-Dec-1985,3,28057
Snowflake Arizona Temple,2-Apr-2000,23-Sep-2000,3-Mar-2002,2,18621
Spokane Washington Temple,13-Aug-1998,10-Oct-1998,21-Aug-1999,2,10700
St. George Utah Temple,31-Jan-1871,9-Nov-1871,6-Apr-1877,18,142000
St. Louis Missouri Temple,29-Dec-1990,30-Oct-1993,1-Jun-1997,4,58749
St. Paul Minnesota Temple,29-Jul-1998,26-Sep-1998,9-Jan-2000,2,10700
Star Valley Wyoming Temple,1-Oct-2011,25-Apr-2015,30-Oct-2016,1,18609
